39,8,77516,4,13,4,8,4,1,1,2174,0,40,41,0
50,3,83311,4,13,5,4,3,1,1,0,0,13,41,0
38,6,215646,9,9,1,10,4,1,1,0,0,40,41,0
53,6,234721,13,7,5,10,3,4,1,0,0,40,41,0
28,6,338409,4,13,5,3,0,4,0,0,0,40,21,0
37,6,284582,14,14,5,4,0,1,0,0,0,40,41,0
49,6,160187,1,5,3,2,4,4,0,0,0,16,39,0
52,3,209642,9,9,5,4,3,1,1,0,0,45,41,1
31,6,45781,14,14,4,3,4,1,0,14084,0,50,41,1
42,6,159449,4,13,5,4,3,1,1,5178,0,40,41,1
37,6,280464,7,10,5,4,3,4,1,0,0,80,41,1
30,8,141297,4,13,5,3,3,0,1,0,0,40,35,1
23,6,122272,4,13,4,8,1,1,0,0,0,30,41,0
32,6,205019,0,12,4,11,4,4,1,0,0,50,41,0
40,6,121772,12,11,5,5,3,0,1,0,0,40,31,1
34,6,245487,6,4,5,6,3,3,1,0,0,45,26,0
25,3,176756,9,9,4,9,1,1,1,0,0,35,41,0
32,6,186824,9,9,4,12,2,1,1,0,0,40,41,0
38,6,28887,13,7,5,11,3,1,1,0,0,50,41,0
43,3,292175,14,14,1,4,2,1,0,0,0,45,41,1
40,6,193524,8,16,5,3,3,1,1,0,0,60,41,1
54,6,302146,9,9,2,2,2,4,0,0,0,20,41,0
35,7,76845,1,5,5,9,3,4,1,0,0,40,41,0
43,6,117037,13,7,5,6,3,1,1,0,2042,40,41,0
59,6,109015,9,9,1,14,2,1,0,0,0,40,41,0
56,1,216851,4,13,5,14,3,1,1,0,0,40,41,1
19,6,168294,9,9,4,5,1,1,1,0,0,40,41,0
54,5,180211,7,10,5,13,3,0,1,0,0,60,10,1
39,6,367260,9,9,1,4,4,1,1,0,0,80,41,0
49,6,193366,9,9,5,5,3,1,1,0,0,40,41,0
23,1,190709,0,12,4,1,4,1,1,0,0,52,41,0
20,6,266015,7,10,4,11,1,4,1,0,0,44,41,0
45,6,386940,4,13,1,4,1,1,1,0,1408,40,41,0
30,7,59951,7,10,5,8,1,1,1,0,0,40,41,0
22,8,311512,7,10,5,2,3,4,1,0,0,15,41,0
48,6,242406,13,7,4,12,2,1,1,0,0,40,1,0
21,6,197200,7,10,4,12,1,1,1,0,0,40,41,0
19,6,544091,9,9,6,8,0,1,0,0,0,25,41,0
